"No.","Time","Source","Destination","Protocol","Length","Info"
"2115","117.959405111","172.16.0.4","172.16.208.128","TCP","66","59260  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427939040 TSecr=164753381"
"2116","117.959820121","172.16.208.128","172.16.0.4","TCP","66","12345  >  59260 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164753383 TSecr=1427939040"
"2117","117.960548037","172.16.0.4","172.16.208.128","TCP","66","59260  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427939042 TSecr=164753383"
"2118","118.368598188","172.16.0.4","172.16.208.128","TCP","74","59262  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427939450 TSecr=0 WS=128"
"2119","118.368666990","172.16.208.128","172.16.0.4","TCP","74","12345  >  59262 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164753792 TSecr=1427939450 WS=128"
"2120","118.369152601","172.16.0.4","172.16.208.128","TCP","66","59262  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427939451 TSecr=164753792"
"2121","118.369433107","172.16.0.4","172.16.208.128","TCP","67","59262  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427939451 TSecr=164753792"
"2122","118.369491508","172.16.208.128","172.16.0.4","TCP","66","12345  >  59262 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164753792 TSecr=1427939451"
"2123","118.369669412","172.16.0.4","172.16.208.128","TCP","66","59262  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427939451 TSecr=164753792"
"2124","118.369817816","172.16.208.128","172.16.0.4","TCP","66","12345  >  59262 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164753793 TSecr=1427939451"
"2125","118.370126422","172.16.0.4","172.16.208.128","TCP","66","59262  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427939452 TSecr=164753793"
"2126","118.523476322","172.16.0.4","172.16.208.128","TCP","74","59264  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427939605 TSecr=0 WS=128"
"2127","118.523571324","172.16.208.128","172.16.0.4","TCP","74","12345  >  59264 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164753947 TSecr=1427939605 WS=128"
"2128","118.524436844","172.16.0.4","172.16.208.128","TCP","66","59264  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427939606 TSecr=164753947"
"2129","118.524448144","172.16.0.4","172.16.208.128","TCP","67","59264  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427939606 TSecr=164753947"
"2130","118.524459044","172.16.0.4","172.16.208.128","TCP","66","59264  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427939606 TSecr=164753947"
"2131","118.524707750","172.16.208.128","172.16.0.4","TCP","66","12345  >  59264 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164753948 TSecr=1427939606"
"2132","118.525073458","172.16.208.128","172.16.0.4","TCP","66","12345  >  59264 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164753948 TSecr=1427939606"
"2133","118.525351364","172.16.0.4","172.16.208.128","TCP","66","59264  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427939607 TSecr=164753948"
"2134","118.916479640","172.16.0.4","172.16.208.128","TCP","74","59266  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427939998 TSecr=0 WS=128"
"2135","118.916602643","172.16.208.128","172.16.0.4","TCP","74","12345  >  59266 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164754340 TSecr=1427939998 WS=128"
"2136","118.917669666","172.16.0.4","172.16.208.128","TCP","66","59266  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427939999 TSecr=164754340"
"2137","118.918086175","172.16.0.4","172.16.208.128","TCP","67","59266  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427940000 TSecr=164754340"
"2138","118.918098276","172.16.0.4","172.16.208.128","TCP","66","59266  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427940000 TSecr=164754340"
"2139","118.918135477","172.16.208.128","172.16.0.4","TCP","66","12345  >  59266 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164754341 TSecr=1427940000"
"2140","118.918780691","172.16.208.128","172.16.0.4","TCP","66","12345  >  59266 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164754342 TSecr=1427940000"
"2141","118.919693611","172.16.0.4","172.16.208.128","TCP","66","59266  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427940001 TSecr=164754342"
"2142","119.040658592","172.16.0.4","172.16.208.128","TCP","74","59268  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427940122 TSecr=0 WS=128"
"2143","119.040761095","172.16.208.128","172.16.0.4","TCP","74","12345  >  59268 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164754464 TSecr=1427940122 WS=128"
"2144","119.041778417","172.16.0.4","172.16.208.128","TCP","66","59268  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427940123 TSecr=164754464"
"2145","119.042175626","172.16.0.4","172.16.208.128","TCP","67","59268  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427940124 TSecr=164754464"
"2146","119.042192227","172.16.0.4","172.16.208.128","TCP","66","59268  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427940124 TSecr=164754464"
"2147","119.042244828","172.16.208.128","172.16.0.4","TCP","66","12345  >  59268 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164754465 TSecr=1427940124"
"2148","119.042616636","172.16.208.128","172.16.0.4","TCP","66","12345  >  59268 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164754466 TSecr=1427940124"
"2149","119.042996345","172.16.0.4","172.16.208.128","TCP","66","59268  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427940125 TSecr=164754466"
"2150","119.624359430","172.16.0.4","172.16.208.128","TCP","74","59270  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427940706 TSecr=0 WS=128"
"2151","119.624432432","172.16.208.128","172.16.0.4","TCP","74","12345  >  59270 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164755047 TSecr=1427940706 WS=128"
"2152","119.625087246","172.16.0.4","172.16.208.128","TCP","66","59270  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427940707 TSecr=164755047"
"2153","119.625599158","172.16.0.4","172.16.208.128","TCP","67","59270  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427940707 TSecr=164755047"
"2154","119.625670159","172.16.208.128","172.16.0.4","TCP","66","12345  >  59270 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164755049 TSecr=1427940707"
"2155","119.625858663","172.16.0.4","172.16.208.128","TCP","66","59270  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427940707 TSecr=164755047"
"2156","119.626015567","172.16.208.128","172.16.0.4","TCP","66","12345  >  59270 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164755049 TSecr=1427940707"
"2157","119.626656181","172.16.0.4","172.16.208.128","TCP","66","59270  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427940708 TSecr=164755049"
"2158","119.824984477","172.16.0.4","172.16.208.128","TCP","74","59272  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427940906 TSecr=0 WS=128"
"2159","119.825059379","172.16.208.128","172.16.0.4","TCP","74","12345  >  59272 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164755248 TSecr=1427940906 WS=128"
"2160","119.825411587","172.16.0.4","172.16.208.128","TCP","66","59272  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427940907 TSecr=164755248"
"2161","119.825732594","172.16.0.4","172.16.208.128","TCP","67","59272  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427940907 TSecr=164755248"
"2162","119.825744294","172.16.0.4","172.16.208.128","TCP","66","59272  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427940908 TSecr=164755248"
"2163","119.825780695","172.16.208.128","172.16.0.4","TCP","66","12345  >  59272 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164755249 TSecr=1427940907"
"2164","119.826068801","172.16.208.128","172.16.0.4","TCP","66","12345  >  59272 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164755249 TSecr=1427940908"
"2165","119.826336507","172.16.0.4","172.16.208.128","TCP","66","59272  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427940908 TSecr=164755249"
"2166","120.115020705","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"2167","120.146255396","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
