Source,Destination,Protocol,Length,Info,label,cluster
8071,6623,15,66,36805,1,0
8071,6623,15,66,36806,1,0
8071,6623,15,66,36807,1,0
8073,6622,15,66,32494,1,0
8071,6623,4,90,76721,1,1
8073,6622,15,66,37129,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,15161,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,15165,1,0
8073,6622,15,66,37130,1,0
8071,6623,15,66,15162,1,0
24085,18753,0,42,77612,1,1
24083,18755,0,60,9879,1,0
24083,18755,0,60,77614,1,1
24085,18753,0,42,9880,1,0
8070,11194,13,166,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,171,76629,1,1
8070,11194,13,212,76629,1,1
10155,11194,13,212,76629,1,1
8070,11194,13,212,76629,1,1
8070,11194,13,217,76629,1,1
10155,11194,13,212,76629,1,1
10155,11194,13,217,76629,1,1
8070,11194,13,212,76629,1,1
8070,11194,13,217,76629,1,1
10155,11194,13,212,76629,1,1
10155,11194,13,217,76629,1,1
8070,11194,13,212,76629,1,1
8070,11194,13,217,76629,1,1
10155,11194,13,212,76629,1,1
10155,11194,13,217,76629,1,1
8070,11194,13,217,76629,1,1
10155,11194,13,217,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8073,6622,15,74,32219,1,0
8071,6623,15,74,14525,1,0
8073,6622,15,66,32215,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,32216,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,14519,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,14522,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,14523,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76687,1,1
8071,6623,15,66,14516,1,0
8071,6623,4,96,76716,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,14517,1,0
8071,6623,4,114,76954,1,1
8073,6622,15,74,37577,1,0
8071,6623,15,74,44020,1,0
8073,6622,15,66,37574,1,0
8073,6622,4,72,76639,1,1
8071,6623,15,66,14518,1,0
8071,6623,4,105,76690,1,1
8071,6623,5,216,76544,1,1
8071,6623,15,66,44019,1,0
8073,6622,15,66,37575,1,0
8073,6622,15,66,37576,1,0
8071,6623,15,66,44018,1,0
8071,6623,4,90,76720,1,1
8073,6622,15,66,32217,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,14520,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,14524,1,0
8073,6622,15,66,32218,1,0
8073,6622,15,74,32224,1,0
8071,6623,15,66,14521,1,0
8071,6623,15,74,14535,1,0
8073,6622,15,66,32220,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,32221,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,14529,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,14532,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,14533,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76688,1,1
8071,6623,15,66,14526,1,0
8071,6623,4,97,76717,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,14527,1,0
8071,6623,4,114,76778,1,1
8073,6622,15,74,25819,1,0
8071,6623,15,74,25386,1,0
8073,6622,15,66,25816,1,0
8073,6622,4,83,76651,1,1
8071,6623,15,66,14528,1,0
8071,6623,4,136,76702,1,1
8071,6623,5,1566,76552,1,1
8071,6623,15,66,25385,1,0
8073,6622,15,66,25817,1,0
8073,6622,15,66,25818,1,0
8071,6623,15,66,25384,1,0
8071,6623,4,90,76721,1,1
8073,6622,15,66,32222,1,0
